لری, فارسی
حاشا که  , حاشا کرد
حاضر وابی  , حاضر شد
تا او حاضِره تیموم باطله  , تا آب حاضر است تیمم باطل است
وَ حال اومدن, به حال آمدن
وَ حال رهتن , از حال رفتن
حالی و حالی وابی  , حالی به حالی شد.
حالیش وابی  , حالیش شد
تا حال ای کارَه نکردمه , تا کنون این کار را انجام نداده­ام
حَلا نومَده  , هنوز نیامده است
بچی خوب سر حالوش ای­ره , بچه­ی خوب به دایی­اش می­رود
خدا حامیت بو  , خدا حامی تو باشد
قندَه حب کُه  , قند را حبه کن
حال حبابش خوب نی, حال و وضعش خوب نیست
حباب نداره  , وضعی ندارد
حال و حبابت چه­طوره, حال و وضعت چه­طور است
حتم داشتن  , یقین داشتن
حجاب داره  , حجاب دارد
یه بردی بِنه سر حدش, یک سنگی سر مرزش بگذار
بدنش حرارت داره , بدنش حرارت دارد
عرصه وَم تنگ وابی, عرصه بر من تنگ شد
حرفش پیکه  , حرفش پوک است
حرف حرف ای­کشه , حرف حرف می کشد
حرف حرف ای یاره   , حرف حرف می­آورد. 
حرف­شو وابی  , حرف­شان شد
حرف آخِرَه زه  , حرف آخر را زد
حرف سیش درآوُ, حرف برایش درآورد
حرف و خرجش نره , حرف به خرجش نرفت
حرف من حرف آوُ, حرف تو حرف آورد
حرف من دهونش نِها, . حرف در دهانش گذاشت
حرف من گوشش نی­ره , حرف در گوشش نمی­رود
حرف حالیش وانی­بو  , حرف حالیش نمی­شود
حرف خِشَه وَ کرسی نشند, حرف خودش را به کرسی نشاند
حرف دلته بزن  , حرف دلت را بزن
حرف دهونته بفهم , حرف دهانت را بفهم
حرفشه پیچنا, حرفش را پیچاند
حرفشه عوض کِه, حرفش را عوض کرد. 
حرفشه برید, حرفش را برید
حرفشه نخند  , حرفش را نخواند
حرفشه گوش نکه  , حرفش را گوش نکرد
حرفی نداره  , . حرفی ندارد
و حرف اومَه  , به حرف آمد
سر حرف خُش ویسا , سر حرف خودش ایستاد
عجب حرفی , عجب حرفی می­زنی
حرف بی رضی خدا نزن , حرف بی رضای خدا نزن
حرف حساب جباب نداره , حرف حساب جواب ندارد
حرف راسَه وَ بچه  بشنف, سخن راست را از بچه بشنو
حرف راسَه وَ آدم کلو بشنف, سخن راست را از آدم دیوانه بشنو
حرفی وَ گل نازک تر وش نگهتم, حرفی از گل نازک تر به او نگفتم
حرکتش خوب نبی  , حرکتش خوب نبود
حرمتش ای­­کنه  , او را حرمت می کند
حُرمَتشَه وجا ای ای یاره , . احترامش را به جا می­آورد
حرمتش کِه  , . احترامش کرد.
حساب حسابِه ککا برادر  , حساب حساب است کاکا برادر
حسابی­یه که کورسی فلانش ای­کنه , حسابی است که کور با فلانش می­کند
حسرت و دلش موند, حسرت به دلش ماند
حقشه گره  , یقه­اش را گرفت
حقَمه چل کل ای­کنم , یقه­ام را چهل تکه می­کنم.
حقمه دِکل ای­کنم , یقه­ام را نصف می­کنم
یه حکمتی داره  , یک حکمتی دارد
ای کارَه حل که  , این کار را حل کرد
ای کار حل وابی  , این کار حل شد
حلاج نداره  , علاج ندارد
حلاجش نی­کنه  , علاجش نمی­کند
حلال حروم سرشا نی بو  , حلال و حرام سرش نمی شود
حلال بیدی طلبیدن, حلال بودی طلبیدن
حلمه کِه که ونه بِگِرِه , حمله کرد که او را بگیرد
حواسش نه سر جاشه , حواسش سر جایش نیست
حواسش جم نی  , حواسش جمع نیست
حوالی سر خرمنی وش دا , حواله­ی سر خرمنی به او داد
مث حوریه­ی بهشتی­یه , مانند حور بهشتی است
حیثیتشَه و دَهس دا , حیثیتش را از دست داد
حیرون وابی  , حیران شد
حیونَلِش تلف وابی , حیوان­هایش تلف شدند
خاطرشه ای­خم  , خاطرش را می­خواهم
خاطرش و یادم نی ره, خاطره­اش از یادم نمی­رود
خالی مِن پیشونیشه, خالی در پیشانی اوست
خان ای­بخشه خان­علی­خان نی­بخشه  , خان می­بخشد خان­علی­خان نمی­بخشد
خت غریب گدارت غریب , خودت غریب گذارت غریب 
خدا ورهش بیا  , خدا به راهش بیاید. 
خدا خَرَه اشنخت که شاخ وش ندا, خدا خر را شناخت که به آن شاخ نداد
هم خدا نَه ای­خو هم خُرما­نَه, هم خدا را می­خواهد هم خرما را
خدانَه بنده نی  , خدا را بنده نیست
وَ خدا ای سپارمت  , به خدا می­سپارمت
خدا وَ دادش برسه, خدا به دادش برسد
خدا برفه وَ که یی ای­زنه که طاقتشه داشته بو  , خدا برف را بر کوهی می­بارد که تحمل آن را داشته باشد
خدا گنگ وابی  , خدا گنگ شوی
وَ خذمتش رسیدم , به خدمتش رسیدم
خرش وَ پل گذشت , خرش از پل گذشت
خر وَپیوم او نی­خره , خر با پیغام آب نمی­خورد
خر تیش افلاطونه, . خر پیش او افلاطون است
خر همو خره پالینش عوض وابیده , خر همان خر است، پالانش عوض شده است
خر هر جا بار بوره  کرا داره , خر هر کجا بار ببرد کرایه دارد
خر کور و اوسار رنگین , خر کور و افسار رنگین
خر کور و افسار رنگین, خرما بار دارد ولی از خود خبر ندارد
خر نخریده آخرشه ای بنده , خر نخریده آخرش را می بندد 
و خر شیطون پیاد وابو, از خر شیطان پیاده شو 
خرجش دخلشه نی زنه, خرج او دخلش را نمی­زند
دخلش خرجشه نی زنه, دخل او خرجش را نمی­زند
وَ خرجش نی­ره , . به خرجش نمی­رود
فرماشت خرده مکن , فرمایش خرده مکن
خرسَه ای برن و آهنگری, خرس را به آهنگری می­برند
مِلَه خرس کندن غنیمته , . مو از خرس کندن غنیمت است
خرس وَ تیی کور درومه, . اشک از چشم کور بیرون آمد
تفنگ خش دهس  , تفگ خوش دست
خش خش ای کنه , خش خش می کند
مزمه نقد بده  , مزدم را نقد بده
خصلت بدی داره  , خصلت بدی دارد
و خاطرم خطور نكه , به خاطرم خطور نکرد
چه خل من سر بریزم, چه خاکی بر سرم ببیزم
خِلَه من سر کردن  , خاک بر سر کردن
خل من سرت , خاک بر سرت
خِل عالم من سرت , خاک عالم بر سرت 
یه خل من سری بکنم, یک خاک بر سری بکنم
آدم خلی­یه  , آدم خمیده­ای است
گا من او خله­گی­یه, گاو در آن خمیدگی  است
خلاص وابی , خلاص شد
خلاصش که  , خلاصش کرد
حرفته خلاصه کُ  , حرفت را خلاصه کن
خرد و خمیرش که  , او را خرد و خمیر کرد
خشه بهس من هچل , خودش را در هچل انداخت
خشه من چنگش دراوُ, خود را از چنگش بيرون آورد
خم وَ خدا  , خودم و خدا
خمونی­یه, خودمانی است
خوار وابیدم  , خوار شدم.
خواس کردن  , خواست کردن
خواس کردمه, خواست کرده­ام
خواس­گاری کردن, خواستگاری کردن.
خواس خوبش کنه بدش که , خواست آن را خوب کند آن را بد کرد
خواس نفتشه پاک کنه، تیشه کور که , خواست بینی­اش را پاک کند چشمش را کور کرد
خواسم یه چی بخرم یه چی خردم , خواستم یک چیزی بخورم یک چیزی مرا خورد
خواسم ثِباب کنم کباب وابیدم , خواستم ثواب کنم کباب شدم
چه بخی چه نخی  , چه بخواهی چه نخواهی
خواهی بخو خواهی نخو , خواهی بخواه خواهی نخواه
خورش بیارن  , خبرش را بیاورند
خور مرگش بیارن  , خبر مرگش را بیاورند
خَوَر داشتن  , خبر داشتن
خَوَرپیچهسن, خبر پیچیدن
خَوَر مرگ کسی­نه آوردن , خبر مرگ کسی را آوردن
خورجین وابی و دِ تربه , خورجین به دو توبره تبدیل شد.
خوفِش من جونمه , ترسش در جانم است
درس خوندن , درس خواندن
بهل زمین خیسه بخره , بگذار زمین خوب خیس بخورد
کمش مث خیگه  , شکمش مثل خیک است
خون من دهونشه  , خون در دهانش است
خین من دِهونشه  , خون در دهانش است
خینی وابی, خونی شد
خین من تیشَه گرهته, خون جلوی چشمش را گرفته است
خین آوُ من تیم  , خون در چشم من آورد. 
خین که پر دلم  , دلم را پر خون کرد
خینه صاف کِه  , خون را صاف کرد
خینش و جوش اومه  , خونش به جوش آمد
خینمه خه  , خونم را خورد
دَ ای کارَه نکنی  , دیگر این کار را نکنی
نکُه دَ  , دیگر نکن
دو وَ هم زدن  , دو به هم زدن
دِ دوزه بازي  , دو دوزه بازي
دِ دوزه بازي كردن, دو دوزه بازي كردن
دِ پا داشت دِ پي دَه قرض كه, دو پا داشت دو پاي ديگر قرض كرد
دابر كردن  , از مادر جدا كردن
بره نه دابر كه  , بره را از مادر جدا كرد
كهرنه دابر اي­كنه  , بزغاله را از مادر جدا مي‌كند
داد و فرياد اي­زنه  , داد و فرياد مي­کند
اي خدا و دادم برس , ای خدايا به فريادم برس
داد و دهسه اي زمونه, داد از دست اين زمانه
هره ته من اي دار درار, اره­ات را از اين درخت در بياور
دار درختش قشنگه, دار و درختش قشنگ است
وَ دار دنيا يه گي داره, از دار دنیا فقط يك گاو دارد.
تا مال من اي واره هره من اي داره  , تا آبادي در اين يورد است ارّه در اين درخت است.
دار تهل ثمرش شرين واني بو , درخت تلخ ميوه‌اش شيرين نمي‌شود
دارم دارم ای­کنه  , . دارم دارم می­کند
داغش که  , او را داغ کرد
داغشه نها من دلش , داغ آن را بر دلش گذاشت
هیمی دایری­یه  , هیزم محکمی است
آدم دایری یه, آدم محکمی است
دیوار دایری­یه  , دیوار محکمی است
دبه که  ,  دبه کرد
دبه دراُ , دبه در آورد
دچارم که  , دچارم کرد
دچارم ای­کنه  , دچارم می¬کند
خرجش دخلشه نی زن, خرجش دخلش را نمی­زند
دِخیل بهسن  , دخیل بستن
مث دری نادری حرف ای­زنه, . مثل دره­ی نادری حرف می­زند
درد بی درمون  , درد بی درمان
درد بلات و جونم , درد و بلایت به جانم
درفه درف  , . ظرف به ظرف
درفه درفش که  , آن را ظرف به ظرف کرد
درفه درف وابی, ظرف به ظرف شد
درک نداره  , درک ندارد
وَ درک که نومه  , به درک که نیامد
درد بی درمون  , درد بی درمان
درمون کردن  , درمان کردن
درمونش کِه , درمانش کرد
دروکن دشمن خدا­یه, دروغگو دشمن خدا است
درو ای­کنه که خم ایگم راسه , دروغ می­گوید که خودم می­گویم راست است
درو ای­کنه بهزه راس , دروغ می­گوید که بهتر از راست است
دز نابلد و کهدون ای­زنه , دزد نابلد به کاهدان می زند
دز نگرهته پادشایه , دزد نگرفته پادشاه است
دز و­ یه ره ای­ره صاحب مال هزار ره , دزد به یک راه می­رود و دزدی می­کند ، صاحب مال به هزار راه
دشمن تراشی ای­کنه , دشمن تراشی می­کند
نه دوسیش مهلومه نه دشمنیش , نه دوستیش معلوم است نه دشمنیش
دلش تركهسه  , . دلش تركيده است
دلش من كمشه  , دلش در شكمش است
دلشه نداره  , دلش را ندارد
دلشه و دهس آو  , دلش را به دست آورد
دلته صاف كُ  , دلت را صاف كن
دل خري دراوردن  , دل خوري درآوردن
دلش پره معدش خرابه , دلش پر است و معده‌اش خراب است
دل دل اي­كنه  , دل دل مي‌كند
دلش او وابي  , دلش آب شد
دلم وَخينه  , دلم خون است
دل و دماغ نداره  , دل و دماغ ندارد. 
دل و دل ره داره  , دل به دل راه دارد
دل و دل نزديكه  , دل به دل نزديك است
دلشه و دَهس آوُ, دلش را به دست آورد
دلم تكه تكه­يه  , دلم تكه تكه است
دلم جا ني گره  , دلم جا نمي‌گيرد
دل و دل ره داره  , دل به دل راه دارد
دل و دل نزيكه  , دل به دل نزديک است
درف دمه ری وابی  , ظرف دمر شد
دمه ریش که  , آن را دمر کرد
دم دمی­یه  , دم دمی است
دمبه زده  , دنبه زده است
دنیا گشتنی بهتَرَه دنیا نشهسنی­یه , دنیا گشتن بهتر از دنیا نشستن است
دنیا محل گذره  , دنیا محل گذر است
دنیا دنیانَه خرده , دنیا دنیا را خورده است
دنیی بدی وابیده  , دنیای بدی شده است
دنیا و آخر نرسیده , دنیا به آخر نرسیده است
دنیا دِ روزه  , دنیا دو روز است
دنیا بی وفا­یه  , دنیا بی وفا است
دنیا­نه چه دیدی  , دنیا را چه دیدی
دنیا ارزشت نداره که بدی کنی , دنیا ارزش ندارد که بدی کنی
دندرش اشکهسه , دنده­اش شکسته است
دندرش من کمشه, دنده­اش در شکمش است
دندونش زنگ زده , دندانش زنگ زده است
ای دندون لقه­کی من دهونش اشکناده , این دندان لق را کی در دهانش شکنده است
دندون ای حرفه بکش , دندان این حرف را بکش
دندونشه ای شماره  , . دندانش را می­شمارد
دندونمه ای­شماره  , دندانم را می­شمارد
دندون کرمونه بایت بکشی , . دندان کرم خورده را باید بکشی
دندون دردَه بایت بکشی , دندان درددار را باید بکشی
دو رش مرد یه کری وگیر شومه , دخترش مرد یک پسری گیرش آمد
دنیا دور سرم غر ای­خره , دنیا دور سرم تاب می­خورد
دوسیش و درد نی­خره, دوستی او به درد نمی­خورد
به ای دونی بی شمار قسم , به این دانه بی شمار قسم
دندونش مث دونی شو چراغه , دندانش مثل دانه­ی شب چراغ است
آسیو دون برده  , آسیاب دانه برده است
ای دیوار دووم نداره , این دیوار دوام ندارد
دووم نی­یاره  , دوام نمی­آورد
دهس بالی دهس  , دست بالای دست
دهس بالای دهس بسیاره, دست بالای دست بسیار است
دسمال وَ دهس  , دستمال به دست
دهسه جونم سس کُ, دست از جانم سست کن
دهسه جونم وه گه, دست از جانم بردار
دهسه چو وابی  , دست به چوب شد
دهسه حقه وابی  , دست به یقه شد
دهس خته ای­بوسه  , دست خودت را می­بوسد
دهس دادن  , دست دادن
دهس دراوُ, دست درآورد
دهس دهسه ای­شناسه , دست دست را می­شناسد
دهسه کار وابی  , دست به کار شد
دهس وَ سرش کشی  , دست به سرش کشید
دهس و گوشی کِلَه خت بگر تا باد نبرش , دست به گوشه­ی کلاه خودت بگیر تا باد آن را نبرد
دهس و مو شفا و تو, دست از من شفا از تو
دهسی وَخُت بگر قیاسی و مردم , دستی به خودت بگیر قیاسی به مردم
دهسش زر بَردِشِه, دستش زیر سنگش است
دهسش بَهسه­یه  , دستش بسته است
دهسش و دهونش ای­رسه , دستش به دهانش می­رسد
دهسش بی نِمکه  , دستش بی نمک است
دهسم نمک نداره, دستم نمک ندارد
دهسش وَ دنيا كوتاه وابي, دستش از دنيا كوتاه شد
دهسشونه دان و دهسه يك, دستشان را به دست هم داد
دهسه گل و او داد  , . دسته گل به آب داد
دهسه دهسش كه  , دست به دستش كرد
دهسه گل و او داد , دسته گل به آب داد
دهس حروم و مال مردم داره , . دست حرام به مال مردم دارد
پهشه سر دهس چرب اي شينه, پشه روي دست چرب مي‌نشيند
دهس و دامونش وابي, دست به دامنش شد
دعوي سرشخم بهزه صُل سر خرمنه, دعواي هنگام شخم زدن بهتر از صلح سر خرمن است
دهونش بو شیر ای­ده  , دهانش بوی شیر می­دهد
ديدن تا گهتن صد ره­يه , ديدن تا گفتن صد راه است
دِير از گوشِت  , دور از گوشت
زِر دينش ني درا  , زيردينش در نمي‌آيد
و راحتی اومه  , به راحتی آمد
راس راسش مث داسه, راست راستش مثل داس است
راضیم وَ رضی خدا , راضی­ام به رضای خدا
خدا وش راضی وابو, خدا از او راضی شود
رک و پوس کنده حرف ای­زنه, رک و پوست کنده حرف می زند
وش رجو کردم نبیدش, به او مراجعه کردم نبودش
بچنه من امتحون رد که, بچه را در امتحان رد کرد
رسواتی درس ای­کنه, رسوایی درست می­کند
رسواتی دراوُ  , رسوایی درآورد 
رسمشون يِنِه  , رسم آن­ها این است
رسیده رسیده ای­خره نرسیده دنگلو, رسیده رسیده می­خورد نرسیده نارس
جون بده که جون ستون رسی, جان بده که جان ستان رسید
شريك دز و رفيق قافله , شريك دزد و رفيق قافله
يه چنه, این چیست
رقاصي اي‌كنه  , مي‌رقصد
رك و پوس كنده حرف اي­زنه, رك و پوست كنده حرف مي‌زند
پاشه نها من رکاب,  پایش را بر رکاب گذاشت
دِ رکت نماز خوندم , دو رکعت نماز خواندم
اسپ رم که  , اسل رم کرد
رمق گرهتن  , رمق گرفتن
رمقشه گره  , رمقش را گرفت
ای کله سی سرش رنگه, اين کلاه برای سرش گشاد است
رنگ ریمه بوین حال دِلمَه بپرس  ,  رنگ صورتم را ببین و حال دلم را بپرس
رنگ رختن  , . رنگ ریختن
رنگ ای ریزه  , . رنگ می­ریزد
رنگشَه باخته  , رنگ باخته است
رنگ مرده گرهته, رنگ مرده گرفته است.
رنگ رهته  , رنگ رفته
رنگ رو رهته  , رنگ و رو رفته
روحش وَ قالبش زیاده , روحش از قالبش زیاد است
روحش خَوَر نداره  , روحش خبر ندارد
حرف ناروا ای­­زنه  , حرف ناروا می­زند
روزه خردن  , روزه خوردن
روزی شک دار مگر , روزه­ی شک دار مگیر
من تاریکی بشین روشنی­نه بپا , در تاريكي بنشین روشني را بپا
وَ رووه گهتن شاهدت کی­یه گُ دمب مِه  , به روباه گفتند شاهدت کیست گفت دمم است
رووه­نه گهتن شاهدت کی­یه گُه دمبه, به روباه گفتند شاهدت کیست گفت دمم است
رووه دَهسِش وانگورنی­رَسِه ای­گُ ترشه  , روباه دستش به انگور نمی­رسد می­گوید ترش است
رووه از بس دمبش کچلو بی جارفی و دمبش بهس  , روباه از بس دمش کوچک بود جارویی هم به آن بست
روهی گپو روهی کچلومه خرده , روده­ی بزرگم روده­ی کوچکم را خورده است
رهنه بلدی فرسقشه ای­پرسی, راه را بلد هستی فرسخش را می پرسی
ره واز جاده دراز  , راه باز و جاده دراز است. 
رهتنش رهتن علی ویس خانی­یه, رفتن او رفتن علی ویس خانی است
ره بَهسَه  , راه بسته
رونش که  , روانه­اش کرد
جومش آسر نداره , پیراهنش آستر ندارد
رنگ من ریش نی  , رنگ به رویش نیست
ریت سه  , رویت سیاه
ری سه وابیده  , رو سیاه شده
ری بوت سه  , روی پدرت سیاه
ری دیت سه, روی مادرت سیاه
ریشه ور گردنا  , رویش را برگرداند
قدش ریزه  , : قدش ریز است
ریز کردن  , ریز کردن  
ریس­شو نومدِه  , رئیسشان  نیامده است.
ریششه او بُ, ریشش را آب برد.
ریش همساته که تراشتن این خته تَرکُ, ریش همسایه­ات را که تراشیدند ریش خودت را تر کن
ریش خِتَه که تراشتی این همساته تر کُ, ریش خودت را که تراشیدی ریش همسایه­ات را تر کن
ریش و قیچین دَهس خته , ریش و قیچی در دست خودت است
ریشِشَه من آسیو سفید کرده, ریشش را در آسیاب سفید کرده است. 
ریشش وَ گرویه  , ریشش گرو است
ریششه نها و گرو, ریشش را گرو گذاشت
ریشش تش گرهته , ریشش آتش گرفته است 
ریشش خشک وابی  , ریشش خشک شد
وَ ریشه دراوردش  , آن­را از ریشه درآورد
وَ ریشه ره  , از ریشه رفت
ریگ من کوشِشِه  , ریگ در کفش خود دارد
آدم زالی­یه  , آدم زالی است
ای گوشته زخمی چه قدر ايدی, اين گوشت زخمی را چه قدر می­فروشی
زِر بار مرو  , زیر بار مرو
زر ای بار ننگ نی رم , زیر این بار ننگ نمی­روم
زر سیویلی ردش که  , زیر سبیلی او را رد کرد
زر سر گرهتن  , زیر سر گرفتن
زرسرش بلند وابیده , زیر سرش بلند شده است
زر زونشه ای­کشه  , زیر زبانش را می­کشد
زردوش و جوش اومَده , زردابش به جوش آمده است
آدم زرنگی­یه  , آدم زرنگی است
زرنگی کِه  , زرنگی کرد
کارش زشته  , کار او زشت است
زمهسون تموم وی بو ری­سیاتیش سی زغال ای­مونه, زمستان تمام می­شود، رو سیاهی آن برای زغال می­ماند
زکات وش واجبه  , زکات بر او واجب است
زل کار ای­کنه  , زود کار می­کند
او زلالی­یه  , آب زلالی است
زمهسون ای­ره روسیاتی وَ زغال ای­مونه, مستان می­رود و روسیاهی به زغال می­ماند
زمین که سفت بو گا و تیی گا ای­بینه, زمین که سفت باشد گاو از چشم گاو می­بیند
زمین شکافت و سر خر پیدا شد, زمین شکافت و سر خر پیدا شد
دلم ای­خو زمین دهن واز کنه برم زِرش  , دلم می­خواهد زمین دهان باز کند و زیرش بروم
زن کاری مرد کاری تا بشوه روزگاری, زن کاری بکند و مرد کاری بکند تا روزگار بگذرد
زنی بیدم نه مِرد, زن بودم نه مرد 
وَ جومی زنهار درومدن, . به پیراهن زنهار در آمدن
زندگونی کردن , زندگانی کردن، 
زندگونی ای­کنه  , زندگی می­کند
دندونش زنگ زده , دندانش زنگ زده است
آهن زنگ زده  , آهن زنگ زده است
زور من کرتی آخره , زور در کرت آخر است
زور و زور زیاده  , زور از زور زیاد است
زور وَش گُ, به او زور گفت
زون بد نهادن  , زبان بد گذاشتن
زون بهسه  , زبان بسته
زون پردهون  , زبان پر دهان
زون درازی کردن  , زبان درازی کردن
زونَه زون اشنفتن, زبان به زبان شنیدن
زون من دهون وراوردن  , زبان در دهان گرداندن
زونته بگز  , زبانت را  گاز بگیر
زونش ای­گهره  , زبانش می­گیرد
زونش سه گزه  , زبانش سه گز است
زونش یه گزه  , زبانش یک گز است
زونش سه­یه  , زبانش سیاه است
زونش یه متره  , زبانش یک متر است
زون کختن  , : زبان گاز گرفتن
زونمه کختم  , زبانم را گاز گرفتم.
زونته بِکُوز  , زبانت را  گاز بگیر
زون نهادن  , زبان گذاشتن
زونمه نخارن  , زبانم را نخاران
زون نفهم  , زبان نفهم
وَ زون خش اشنفتم , از زبان خودش شنیدم
وَ زون وابی  , . از زبان شد
زون گِشون  , زبان گشودن
زون چرب آش بی طوم , زبان چرب و آش بی طعم
مَه زونت کرا ای­خو, مگر زبانت کرایه می­خواهد
زونته مار بزنه , زبانت را مار بزند
زون خش ما رَه وسِمه ای­یار وَدر , زبان خوش مار را از سوراخ بیرون می­آورد
زبان خوش مار را از سوراخ بیرون می­آورد, زبان را به هر طرفی بچرخانی می­چرخد
زونم مل دراوُ, زبانم مو درآورد
چارزونی نِشَهسِه  , چهارزانو نشسته است
شلوارش زونی زده, شلوارش زانو زده است
زونیش یاری نیده, زانویش یاری نمی­دهد
یه زونی برف زده  , یک زانو برف زده است
ضعف  وَ خُت نشون نده , از خودت ضعف نشان نده. 
زهله تِرَک  , زهره ترک. 
زهله ترک وابی  , زهره ترک شد
زَهلَشَه بُ, زهره¬اش را برد
زهله بی زهله کردن , زهره بی زهره کردن
زهله نی­کنه  , زهره نمی­کند
زی تر بیو  , زودتر بیا
زی نومه  , زود نیامد
زی بجم  , زود بجنب
زیاد کار ای­کنه  , زیاد کار می­کند
گاش زی دِگور آوُ, گاوش زایید و دو گوساله آورد
سر زیمون ره  , سر زایمان رفت
سر زا ره  , سر زایمان رفت
زین کردن  , زین کردن
زین وَه گرهتن  , زین برداشتن
سابقی خوبی نداره , سابقه­ی خوبی ندارد
سال وَ سال بدتره  , سال به سال بدتر است
سال وَ سر رهتن  , سال به سر آمدن
سال وَ سر رهته  , سال به سر رفته است
سال وَ سر ره  , سال به سر آمد
وَ سایه نشهسن  , وَ سایه نشهسن  
و سایش نشهسه  , در سایه­اش نشسته است
زِر سایتُم  , زیر سایه­ات هستم
سایی صب و پسین مه , سایه­ی صبح و عصر من است
دَهسش سبکه  , دست او سبک است
سبیلشه چرب که, سبیلش را چرب کرد
سبیل تو دادن  , سبیل را تاب دادن
وَ خدا  سپردمت , به خدا سپردم
وَ خاک سپردن  , به خاک سپردن
امونته وش سپردم , امانت را به او سپردم
ای کارَه وش سپردم , این کار را به او سپردم
سه پاينَه بنه سرتش, سه پایه را روی آتش بگذار
مث ستاری سِهیله , مثل ستاره­ی سهیل است
ستاری بیس یکم  , ستاره­ی بیست یکم
وَش ستم ای­کنه  , به او ستم می­کند
ستین تا ستین فرجه  , ستون تا ستون فرج است
سحرشه باطل که  , سحرش را باطل کرد
سر سخته, سر سخت است
کار سختی­یه  , کار سختی است
سخن چین بدبخت همیشه جفا کشه  , سخن چین بدبخت همیشه جفا کش است
سخن دارم که جای گهتنش نی , سخن دارم که جای گفتنش نیست
تفنگ دارم که جای بهسنش نی  , تفنگ دارم که جای شلیک کردنش نیست
سر دل داره  , سر دل دارد
سر دلش درازه  , سرّ دلش دراز است
سریه پا دِ پا ویسادن, . روی یک پا و دو پا ایستادن
سر یه جا و یه پا  , سر یک جا و یک پا
سر یه جا و یه پا خردش, سر یک جا و یک پا آن را خورد
زر سر کردن  , زیر سر کردن
سر وَنيسش كه  , سر به نيستش كرد،
سربار و بن بار بيشتره , سر بار از بن بار بيشتر است
سر بي دردسرمه ني دم و دردسر , سر بي دردسرم را به دردسر نمي‌دهم
سر زوني گپ زدن, سر زباني حرف زدن
سر زوني حرف اي­زنه , سرزباني حرف مي‌زند
سردرد داشتن  , سردرد داشتن  
سر درد نداره, سر درد ندارد
سر ستاره بري  , سر ستاره بروي
باش سر كله اي‌زنه  , با او سر و کله می زند
سر دهسش درومه  , سر دستش درآمد
سرش مث دويه  , سرش مثل دوغ است
سر حوض كوثر گريبونته بگرم, سر حوض كوثر گريبانت را بگيرم
سر و سرش اي‌نه  , سر به سرش مي‌گذارد.
و اندازه‌ي سر سيزن , به اندازه‌ي سر سوزن. 
سرش بي كله وابي  , سرش بي كلاه شد
سرش جو گندمه   , سرش جو گندم است
سرش درد ني‌كنه  , سرش درد نمي‌كند
سرش نه اين خشه  , سرش مال خودش نيست
سرش نه من اي‌سَرَله, سرش نه در اين سرها است
سرش نه وَ ساختنه  , سرش به ساختن نيست
سرش نه وَ صلايه  , سرش به صلاح نيست
سرش نونه كپش اي­گِه چه , سرش نمي‌داند دهنش چه مي‌گويد
سرش من آخر خشه , سرش در آخر خودش است
سرشه بكُ من اوسار , سرش را داخل افسار کن
سرشه كِه زر او  , سرش را زير آب كرد
سر گروني اي‌كنه  , سرگراني مي‌كند
سر ننهادن  , سرنگذاشتن
سر و بنش يكي­يه  , سر و بنش يكي است
سر زبون افتادن , سر زبان افتادن 
سري كه درد ني­كنه دسمال ني‌بندن , سري كه درد نمي‌كند دستمال نمي‌بندند
نه سرخشه اي‌خو نه سر صحابه, نه سر خودش را مي‌خواهد نه سر صاحب را
سري كه مزگ منش ني كدي­يه , سري كه در آن مغز نيست كدو است
مَه سرا وردي­يه  , مگر سر آورده‌اي
سر بي شوم و زمين نها , سر بی شام به زمین گذاشت
سر و زمين نها  , سر به زمين گذاشت
سرش و سنگ خه, سرش به سنگ خورد
سرش بي كله وابي  , سرش بي كلاه شد
سرشه خه  , سرش را خورد
سرشه و درد آوُ, سرش را به درد آورد. 
سر كيسنه شل كُ  , سر كيسه را شل كن
زِر سرش بلند وابيده , زير سرش بلند شده است
كسي­نه زر سر داره , كسي را زير سر دارد
و سر كولش بالا اي­ره, از سر و كولش بالا مي‌رود
سر بو كِلَه بسياره  , . سر باشد كلاه بسيار است
سر بي گناه پي دار اي‌ره اما بالي دار ني‌ره , سر بي گناه پاي دار اعدام مي‌رود ولي بالاي دار نمي‌رود
سراغش  رهتم , سراغش رفتم
سراغشه گِرُه  , سراغش را گرفت
مث سرپه  , مانند سرب است
سرفی دلشه سیش واز که, . سفره­ی دلش را برای او باز کرد
سرفی سر رَهیَه   , سفره­ی سر راه است
مزش مث سرکه­يَه, . مزه­اش مانند سرکه است
ای دو مث سرکه بی  , این دوغ مانند سرکه بود
سرما خردمه  , سرما خورده­ام
سرما زده وابیده  , سرما زده شده است
سِروشه بشکن  , شاخش را بشکن.
سِروش تیز وابی  , شاخش تیز شد.
وَ سِرو زش  , با شاخ او را زد
مث سریش و آدم ای­چسپه , مانند سریشم به آدم می­چسبد
بَندَه سس بَهس  , ریسمان را سست بست
آدم سسی­یه  , آدم سستی است
حرفش سسه  , حرف او سست است
ای رسمون سسه  , این ریسمان سست است
سس ای­کنه  , سست می­کند
و سزی خش رسی  ,  به سزای خودش رسید
سزاش هم یِه بی  , سزایش همین بود
سِغده من بتشه  , : بغض در گلویش است
سِغده بِتشَه گرهته  , بغض گلویش را گرفته است
وَم سفارش کِه  , به من سفارش کرد.
رو سفيد بي  , رو سفيد باشي.
كارش سقا بقا نداره  , كارش سقا بقا ندارد
سك سكه اي‌كنه  , سك سكه مي‌كند
